A00|霍乱
N47|急性肾衰竭
N48|其他急性肾衰竭
N49|其他急性肾衰竭
N50|其他急性肾衰竭
N51|前列腺炎
N52|其他前列腺疾病
N53|其他前列腺疾病
N54|其他前列腺疾病
N55|其他前列腺疾病
N56|其他前列腺疾病
N57|肾炎综合征
N58|肾病综合征
N59|其他肾小球疾病
N60|其他肾小球疾病
N61|其他肾小球疾病
N62|其他肾小球疾病
N63|其他肾小球疾病
N64|其他肾小球疾病
N65|其他肾小球疾病
N66|其他肾小球疾病
N67|其他泌尿系统疾病
N68|其他泌尿系统疾病
N69|其他泌尿系统疾病
N70|其他泌尿系统疾病
N71|其他泌尿系统疾病
N72|其他泌尿系统疾病
N73|其他泌尿系统疾病
N74|其他泌尿系统疾病
N75|其他泌尿系统疾病
N76|未特指的泌尿系统疾病
O00|异位妊娠
O01|葡萄胎
O02|其他异常妊娠
O03|其他异常妊娠
O04|其他异常妊娠
O05|其他异常妊娠
O06|其他异常妊娠
O07|其他异常妊娠
O08|其他异常妊娠
O09|其他异常妊娠
O10|先兆流产
O11|习惯性流产
O12|不完全流产
O13|完全流产
O14|稽留流产
O15|其他流产
O16|其他流产
O17|妊娠合并高血压
O18|妊娠合并水肿
O19|妊娠合并蛋白尿
O20|子痫前期
O21|子痫
O22|其他妊娠合并高血压
O23|其他妊娠合并高血压
O24|其他妊娠合并高血压
O25|其他妊娠合并高血压
O26|其他妊娠合并高血压
O27|妊娠合并贫血
O28|妊娠合并糖尿病
O29|妊娠合并其他内分泌疾病
O30|妊娠合并其他疾病
O31|妊娠合并其他疾病
O32|妊娠合并其他疾病
O33|妊娠合并其他疾病
O34|妊娠合并其他疾病
O35|胎膜早破
O36|前置胎盘
O37|胎盘早剥
O38|胎盘滞留
O39|前置血管
O40|其他胎盘疾病
O41|其他胎盘疾病
O42|其他胎盘疾病
O43|早产
O44|早产
O45|早产
O46|多胎妊娠
O47|多胎妊娠
O48|多胎妊娠
O49|多胎妊娠
O50|产程延长
O51|难产
O52|胎位异常
O53|胎位异常
O54|其他分娩并发症
O55|其他分娩并发症
O56|其他分娩并发症
O57|其他分娩并发症
O58|其他分娩并发症
O59|其他分娩并发症
O60|产后出血
O61|产褥期感染
O62|产褥期血栓栓塞
O63|产褥期精神疾患
O64|其他产褥期并发症
O65|其他产褥期并发症
O66|其他产褥期并发症
O67|其他产褥期并发症
O68|其他产褥期并发症
O69|未特指的产科疾病
R00|头痛
R01|眩晕
R02|晕厥
R03|惊厥和抽搐
R04|感觉异常
R05|感觉异常
R06|感觉异常
R07|感觉异常
R08|其他神经系统症状
R09|咽痛
R10|鼻出血
R11|鼻阻塞
R12|流涕
R13|其他鼻症状
R14|其他鼻症状
R15|其他鼻症状
R16|其他鼻症状
R17|其他鼻症状
R18|其他鼻症状
R19|呼吸困难
R20|呼吸急促
R21|喘息
R22|其他呼吸症状
R23|其他呼吸症状
R24|其他呼吸症状
R25|其他呼吸症状
R26|其他呼吸症状
R27|其他呼吸症状
R28|咯血
R29|胸痛
R30|其他胸痛
R31|其他胸痛
R32|其他胸痛
R33|其他胸痛
R34|其他胸痛
R35|腹痛
R36|其他腹痛
R37|其他腹痛
R38|其他腹痛
R39|其他腹痛
R40|发热
R41|其他发热
R42|寒战
R43|不适和疲劳
R44|乏力
R45|其他全身症状
R46|其他全身症状
R47|其他全身症状
R48|其他全身症状
R49|其他全身症状
R50|淋巴结肿大
R51|其他淋巴症状
R52|其他淋巴症状
R53|其他淋巴症状
R54|其他淋巴症状
R55|其他淋巴症状
R56|其他淋巴症状
R57|其他淋巴症状
R58|异常红细胞
R59|白细胞异常
R60|血小板异常
R61|其他血液异常
R62|其他血液异常
R63|其他血液异常
R64|其他血液异常
R65|其他血液异常
R66|其他血液异常
R67|其他血液异常
R68|蛋白尿
R69|血尿
R70|其他尿异常
R71|其他尿异常
R72|其他尿异常
R73|其他尿异常
R74|其他尿异常
R75|其他尿异常
R76|其他尿异常
R77|异常心电图
R78|其他异常检查结果
R79|其他异常检查结果
R80|其他异常检查结果
R81|其他异常检查结果
R82|其他异常检查结果
R83|其他异常检查结果
R84|其他异常检查结果
R85|其他异常检查结果
R86|未特指的症状和体征
S00|头部浅表损伤
S01|头部开放性伤口
S02|颅骨骨折
S03|颅骨骨折
S04|颅骨骨折
S05|颅内损伤
S06|颅内损伤
S07|颅内损伤
S08|颅内损伤
S09|头部其他损伤
S10|颈部浅表损伤
S11|颈部开放性伤口
S12|颈部骨折
S13|颈部骨折
S14|颈部骨折
S15|颈部骨折
S16|颈部骨折
S17|颈部其他损伤
S18|颈部其他损伤
S19|颈部其他损伤
S20|胸部浅表损伤
S21|胸部开放性伤口
S22|肋骨骨折
S23|胸骨骨折
S24|胸部骨折
S25|胸部骨折
S26|胸部骨折
S27|胸部其他损伤
S28|胸部其他损伤
S29|胸部其他损伤
S30|腹部浅表损伤
S31|腹部开放性伤口
S32|腰椎骨折
S33|腰椎骨折
S34|腰椎骨折
S35|腰椎骨折
S36|腰椎骨折
S37|腹部其他损伤
S38|腹部其他损伤
S39|腹部其他损伤
S40|肩部浅表损伤
S41|肩部开放性伤口
S42|肱骨骨折
S43|肱骨骨折
S44|肱骨骨折
S45|肱骨骨折
S46|肱骨骨折
S47|肩关节损伤
S48|肩关节损伤
S49|肩部其他损伤
S50|前臂浅表损伤
S51|前臂开放性伤口
S52|桡骨骨折
S53|桡骨骨折
S54|尺骨骨折
S55|尺骨骨折
S56|前臂其他骨折
S57|前臂其他骨折
S58|前臂其他损伤
S59|前臂其他损伤
S60|腕和手浅表损伤
S61|腕和手开放性伤口
S62|腕骨骨折
S63|掌骨骨折
S64|指骨骨折
S65|腕和手其他骨折
S66|腕和手其他损伤
S67|腕和手其他损伤
S68|腕和手其他损伤
S69|腕和手其他损伤
S70|髋和大腿浅表损伤
S71|髋和大腿开放性伤口
S72|股骨骨折
S73|股骨骨折
S74|股骨骨折
S75|股骨骨折
S76|股骨骨折
S77|髋和大腿其他损伤
S78|髋和大腿其他损伤
S79|髋和大腿其他损伤
S80|膝和小腿浅表损伤
S81|膝和小腿开放性伤口
S82|胫骨骨折
S83|胫骨骨折
S84|腓骨骨折
S85|腓骨骨折
S86|膝和小腿其他骨折
S87|膝和小腿其他损伤
S88|膝和小腿其他损伤
S89|膝和小腿其他损伤
S90|踝和足浅表损伤
S91|踝和足开放性伤口
S92|踝骨骨折
S93|足骨骨折
S94|足趾骨折
S95|踝和足其他骨折
S96|踝和足其他损伤
S97|踝和足其他损伤
S98|踝和足其他损伤
S99|其他部位损伤
T00|浅表损伤累及多个身体区域
T01|开放性伤口累及多个身体区域
T02|骨折累及多个身体区域
T03|脱位累及多个身体区域
T04|挤压伤
T05|创伤性切断
T06|其他多处损伤
T07|其他多处损伤
T08|其他多处损伤
T09|其他多处损伤
T10|头部烧伤
T11|颈部烧伤
T12|胸部烧伤
T13|腹部烧伤
T14|肩和上肢烧伤
T15|髋和下肢烧伤
T16|多部位烧伤
T17|多部位烧伤
T18|多部位烧伤
T19|多部位烧伤
T20|低体温
T21|冻伤
T22|其他局部低温
T23|其他局部低温
T24|其他局部低温
T25|其他局部低温
T26|其他局部低温
T27|其他局部低温
T28|其他局部低温
T29|其他局部低温
T30|药物中毒
T31|药物中毒
T32|药物中毒
T33|药物中毒
T34|药物中毒
T35|药物中毒
T36|药物中毒
T37|药物中毒
T38|药物中毒
T39|药物中毒
T40|酒精中毒
T41|酒精中毒
T42|酒精中毒
T43|酒精中毒
T44|酒精中毒
T45|其他精神活性物质中毒
T46|其他精神活性物质中毒
T47|其他精神活性物质中毒
T48|其他精神活性物质中毒
T49|其他精神活性物质中毒
T50|一氧化碳中毒
T51|其他气体和蒸气中毒
T52|其他气体和蒸气中毒
T53|其他气体和蒸气中毒
T54|其他气体和蒸气中毒
T55|其他物质中毒
T56|其他物质中毒
T57|外因后遗症
T58|外因后遗症
T59|外因后遗症
T60|外因后遗症
T61|外因后遗症
T62|外因后遗症
T63|外因后遗症
T64|外因后遗症
T65|外因后遗症
T66|外因后遗症
T67|手术和医疗并发症
T68|手术和医疗并发症
T69|手术和医疗并发症
T70|手术和医疗并发症
T71|手术和医疗并发症
T72|手术和医疗并发症
T73|手术和医疗并发症
T74|手术和医疗并发症
T75|手术和医疗并发症
Z00|为检查和调查而与保健机构接触的人
Z01|为其他检查和调查而与保健机构接触的人
Z02|为观察和评价而与保健机构接触的人
Z03|为其他管理而与保健机构接触的人
Z04|为其他原因而与保健机构接触的人
Z05|为其他原因而与保健机构接触的人
Z06|具有恶性肿瘤个人史
Z07|其他肿瘤个人史
Z08|其他疾病个人史
Z09|其他疾病个人史
Z10|具有传染病危险因子
Z11|具有其他危险因子
Z12|具有其他危险因子
Z13|具有其他危险因子
Z14|具有其他危险因子
Z15|具有其他危险因子
Z16|具有其他危险因子
Z17|具有其他危险因子
Z18|具有其他危险因子
Z19|具有其他危险因子
Z20|计划生育
Z21|绝育
Z22|其他避孕管理
Z23|其他避孕管理
Z24|其他避孕管理
Z25|其他生育问题
Z26|其他生育问题
Z27|其他生育问题
Z28|其他生育问题
Z29|其他生育问题
Z30|产前筛查
Z31|产前筛查
Z32|产前筛查
Z33|产后筛查
Z34|产后筛查
Z35|心理咨询
Z36|心理咨询
Z37|心理咨询
Z38|心理咨询
Z39|心理咨询
Z40|心理咨询
Z41|心理咨询
Z42|心理咨询
Z43|心理咨询
Z44|心理咨询
Z45|药物和物质使用问题
Z46|药物和物质使用问题
Z47|药物和物质使用问题
Z48|药物和物质使用问题
Z49|药物和物质使用问题
Z50|药物和物质使用问题
Z51|HIV状态
Z52|其他感染状态
Z53|其他感染状态
Z54|其他感染状态
Z55|其他感染状态
Z56|其他感染状态
Z57|其他感染状态
Z58|其他感染状态
Z59|器官和组织供者
Z60|器官和组织供者
Z61|器官和组织供者
Z62|器官和组织供者
Z63|器官和组织供者
Z64|器官和组织供者
Z65|器官和组织供者
Z66|器官和组织供者
Z67|器官和组织供者
Z68|器官和组织供者
Z69|单胎活产
Z70|多胎活产
Z71|其他分娩结局
Z72|其他分娩结局
Z73|其他分娩结局
Z74|其他分娩结局
Z75|其他分娩结局
Z76|其他分娩结局
Z77|其他分娩结局
